architecture,epoch,train_rmse,val_rmse,overfit_gap
Physics-Reg.,95,0.096391,0.085361,-0.01103
Physics-Reg.,96,0.0961937,0.0854685,-0.0107252
Physics-Reg.,97,0.0957788,0.0853299,-0.0104489
Physics-Reg.,98,0.095916,0.0851628,-0.0107532
Physics-Reg.,99,0.0954988,0.085146,-0.0103528
Physics-Reg.,100,0.0957783,0.0850223,-0.0107561
Physics-Reg.,101,0.0955932,0.0849024,-0.0106908
Physics-Reg.,102,0.0955862,0.0849888,-0.0105974
Physics-Reg.,103,0.0958464,0.0849562,-0.0108902
Physics-Reg.,104,0.0952531,0.0849708,-0.0102823
Physics-Reg.,105,0.0953908,0.0849475,-0.0104433
Physics-Reg.,106,0.0954592,0.0849586,-0.0105006
Physics-Reg.,107,0.0954054,0.0848537,-0.0105518
Physics-Reg.,108,0.0949965,0.0848604,-0.0101361
Physics-Reg.,109,0.0948284,0.0848413,-0.00998703
Physics-Reg.,110,0.0946367,0.0850827,-0.009554
Physics-Reg.,111,0.0945835,0.0842722,-0.0103113
Physics-Reg.,112,0.0944671,0.0848888,-0.00957834
Physics-Reg.,113,0.0938748,0.0843253,-0.00954959
Physics-Reg.,114,0.0942465,0.0846459,-0.00960069
Physics-Reg.,115,0.0944717,0.0846186,-0.00985312
Physics-Reg.,116,0.0943165,0.0845558,-0.00976064
Physics-Reg.,117,0.093616,0.0844616,-0.00915434
Physics-Reg.,118,0.0938266,0.084463,-0.00936363
Physics-Reg.,119,0.0939379,0.0843752,-0.0095627
Physics-Reg.,120,0.093763,0.0843895,-0.00937351
Physics-Reg.,121,0.0940142,0.0846669,-0.00934736
Physics-Reg.,122,0.0936967,0.0841549,-0.00954177
Physics-Reg.,123,0.0933585,0.0846725,-0.00868604
Physics-Reg.,124,0.0935408,0.0847292,-0.00881164
Physics-Reg.,125,0.0934835,0.084773,-0.00871057
Physics-Reg.,126,0.0931711,0.0843554,-0.00881572
Physics-Reg.,127,0.093058,0.0841234,-0.00893467
Physics-Reg.,128,0.0927708,0.0841884,-0.00858245
Physics-Reg.,129,0.092982,0.0845978,-0.00838424
Physics-Reg.,130,0.0927405,0.0841313,-0.00860919
Physics-Reg.,131,0.0926033,0.0840001,-0.00860312
Physics-Reg.,132,0.0927662,0.0839846,-0.00878162
Physics-Reg.,133,0.092177,0.0838601,-0.0083169
Physics-Reg.,134,0.0924777,0.0839311,-0.00854656
Physics-Reg.,135,0.0925586,0.0839253,-0.0086333
Physics-Reg.,136,0.0926116,0.0833721,-0.00923943
Physics-Reg.,137,0.0922609,0.0840133,-0.00824765
Physics-Reg.,138,0.0919493,0.0840221,-0.00792721
Physics-Reg.,139,0.0922505,0.0836379,-0.0086126
Physics-Reg.,140,0.0919761,0.0838505,-0.00812566
Physics-Reg.,141,0.0919515,0.0835861,-0.0083654
Physics-Reg.,142,0.0919043,0.0838693,-0.00803506
Physics-Reg.,143,0.0917175,0.0836659,-0.00805157
Physics-Reg.,144,0.0918457,0.0838327,-0.00801297
Physics-Reg.,145,0.0913769,0.0836912,-0.00768568
Physics-Reg.,146,0.0915085,0.0835143,-0.00799423
Physics-Reg.,147,0.0911106,0.0836455,-0.00746513
Physics-Reg.,148,0.0912048,0.0834503,-0.0077545
Physics-Reg.,149,0.0912112,0.0835619,-0.00764928
Physics-Reg.,150,0.0911939,0.0835641,-0.00762979
Physics-Reg.,151,0.0914278,0.084019,-0.00740878
Physics-Reg.,152,0.09148,0.0833168,-0.00816323
Physics-Reg.,153,0.09097,0.0841805,-0.00678959
Physics-Reg.,154,0.0910885,0.0837725,-0.00731602
Physics-Reg.,155,0.090929,0.0841099,-0.00681912
Physics-Reg.,156,0.0910404,0.0833016,-0.0077388
Physics-Reg.,157,0.0903676,0.0833756,-0.00699199
Physics-Reg.,158,0.0906617,0.0837034,-0.00695825
Physics-Reg.,159,0.0904701,0.0835532,-0.00691687
Physics-Reg.,160,0.0902664,0.0835829,-0.00668352
Physics-Reg.,161,0.0904613,0.083503,-0.00695839
Physics-Reg.,162,0.0905349,0.0834284,-0.00710648
Physics-Reg.,163,0.0901548,0.0833238,-0.00683094
Physics-Reg.,164,0.0902339,0.0833102,-0.00692368
Physics-Reg.,165,0.0900181,0.0832867,-0.00673135
Physics-Reg.,166,0.0901634,0.0829618,-0.00720159
Physics-Reg.,167,0.0899943,0.0836444,-0.00634992
Physics-Reg.,168,0.0898311,0.0830431,-0.006788
Physics-Reg.,169,0.0898428,0.0833164,-0.00652637
Physics-Reg.,170,0.0901357,0.0833846,-0.00675113
Physics-Reg.,171,0.0899727,0.0837613,-0.00621139
Physics-Reg.,172,0.0897294,0.0833666,-0.0063628
Physics-Reg.,173,0.0898458,0.0830756,-0.00677025
Physics-Reg.,174,0.0895083,0.0830993,-0.00640905
Physics-Reg.,175,0.0892939,0.0829763,-0.00631765
Physics-Reg.,176,0.0893451,0.083159,-0.00618611
Physics-Reg.,177,0.0893301,0.0829697,-0.00636036
Physics-Reg.,178,0.0890325,0.0831029,-0.00592963
Physics-Reg.,179,0.0893133,0.0830255,-0.00628783
Physics-Reg.,180,0.0893476,0.0830244,-0.00632317
Physics-Reg.,181,0.0893975,0.083244,-0.00615343
Physics-Reg.,182,0.0892927,0.0832194,-0.00607329
