epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
176,0.09275022,0.83041129,0.08115597,0.09243161,0.52441395,1.02710752e-01,6.46255477e-02,8.08347987e-02,2.88145813e-02
177,0.09253211,0.83134422,0.08106927,0.09243382,0.52434362,1.03467551e-01,6.43782729e-02,8.10054702e-02,2.85961846e-02
178,0.09238895,0.83158539,0.08105178,0.09243809,0.52358464,1.03098074e-01,6.44508134e-02,8.08567779e-02,2.86061455e-02
179,0.09242813,0.83119023,0.08107243,0.09241775,0.52381584,1.03216753e-01,6.49159385e-02,8.09188597e-02,2.85033794e-02
180,0.09247084,0.83109232,0.08105552,0.09241912,0.52401167,1.03185757e-01,6.48361584e-02,8.06224336e-02,2.85007358e-02
181,0.09270679,0.83259253,0.08114467,0.09262910,0.52473378,1.03022992e-01,6.48727877e-02,8.10309097e-02,2.85250469e-02
182,0.09279486,0.83103884,0.08119486,0.09235803,0.52565328,1.03270539e-01,6.55715552e-02,8.06859097e-02,2.85667969e-02
183,0.09259119,0.83129161,0.08111034,0.09233999,0.52465675,1.03009609e-01,6.44778953e-02,8.08255571e-02,2.85914910e-02
184,0.09255906,0.83027845,0.08112743,0.09225650,0.52437340,1.03137555e-01,6.54443215e-02,8.08115942e-02,2.85709910e-02
185,0.09221836,0.82868413,0.08099467,0.09217833,0.52358508,1.03055177e-01,6.44778429e-02,8.10605999e-02,2.87744316e-02
186,0.09230602,0.83171415,0.08101275,0.09238438,0.52398277,1.03253509e-01,6.50485021e-02,8.08926300e-02,2.88073742e-02
187,0.09228891,0.83252245,0.08097986,0.09243651,0.52346015,1.03456717e-01,6.54158978e-02,8.11914643e-02,2.90645118e-02
188,0.09223017,0.83477968,0.08095974,0.09250534,0.52351357,1.03147409e-01,6.53512916e-02,8.08729756e-02,2.89845043e-02
189,0.09201738,0.83450734,0.08089343,0.09254823,0.52284397,1.03456534e-01,6.51206572e-02,8.09654797e-02,2.89001241e-02
190,0.09197384,0.83268639,0.08087968,0.09240745,0.52253069,1.03809172e-01,6.54533292e-02,8.06340324e-02,2.90896353e-02
191,0.09194483,0.83447564,0.08084754,0.09258970,0.52243434,1.03552782e-01,6.45029515e-02,8.10501329e-02,2.90150359e-02
192,0.09185827,0.83332047,0.08083286,0.09251876,0.52220580,1.03808903e-01,6.44600586e-02,8.09752233e-02,2.90192225e-02
193,0.09195518,0.83301205,0.08086972,0.09249697,0.52237960,1.03393928e-01,6.45776037e-02,8.09813065e-02,2.89337910e-02
194,0.09172277,0.83337220,0.08075095,0.09251961,0.52111738,1.03706870e-01,6.47177472e-02,8.10388009e-02,2.90941324e-02
195,0.09186249,0.83337732,0.08080182,0.09252543,0.52190795,1.03657046e-01,6.44890467e-02,8.11597914e-02,2.89034417e-02
196,0.09211884,0.83279851,0.08092754,0.09240329,0.52332384,1.03985550e-01,6.50677984e-02,8.08517752e-02,2.89331317e-02
197,0.09195826,0.83408760,0.08087163,0.09248962,0.52293934,1.03792126e-01,6.59846263e-02,8.09005733e-02,2.93355067e-02
198,0.09189304,0.83838461,0.08085418,0.09286065,0.52222350,1.03755738e-01,6.57812568e-02,8.10195812e-02,2.93778640e-02
