epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,test_rmse,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
150,0.10646174,0.11822317,0.08569429,0.08315322,0.10734485,0.08936715,0.08311883,1.29266687e-01,1.86934033e-01,1.24642711e-01,4.19985351e-02
151,0.10634288,0.11804426,0.08558601,0.08311272,0.10722717,0.08937260,0.08311726,1.30070409e-01,1.87087479e-01,1.24164343e-01,4.19314341e-02
152,0.10624010,0.11797125,0.08561003,0.08307787,0.10712478,0.08932344,0.08311186,1.30388468e-01,1.86224265e-01,1.24062524e-01,4.20609081e-02
153,0.10636416,0.11796566,0.08562576,0.08306199,0.10724464,0.08940954,0.08310584,1.29602948e-01,1.87219211e-01,1.24372914e-01,4.22137363e-02
154,0.10625470,0.11799958,0.08561016,0.08312836,0.10713855,0.08940509,0.08310718,1.30038266e-01,1.87165495e-01,1.23983462e-01,4.18664007e-02
155,0.10627956,0.11785081,0.08557530,0.08306603,0.10716765,0.08934946,0.08310194,1.30804227e-01,1.87476012e-01,1.24296989e-01,4.20560749e-02
156,0.10606971,0.11778278,0.08550549,0.08306029,0.10695913,0.08943771,0.08309689,1.30416369e-01,1.87121567e-01,1.24184842e-01,4.18013718e-02
157,0.10600095,0.11786326,0.08553211,0.08305794,0.10689135,0.08936942,0.08309211,1.30582636e-01,1.87858848e-01,1.24303000e-01,4.17829357e-02
158,0.10589578,0.11789882,0.08544500,0.08309618,0.10678845,0.08929626,0.08309127,1.30671955e-01,1.87312306e-01,1.24771519e-01,4.15644748e-02
159,0.10617423,0.11779932,0.08557769,0.08301732,0.10706477,0.08928401,0.08308294,1.30820411e-01,1.86804324e-01,1.24320222e-01,4.15687723e-02
160,0.10628662,0.11782025,0.08563263,0.08304256,0.10717939,0.08929979,0.08307770,1.31189723e-01,1.86790356e-01,1.24121084e-01,4.14207298e-02
161,0.10635127,0.11773186,0.08556389,0.08301216,0.10723985,0.08935080,0.08307034,1.30062655e-01,1.87727084e-01,1.24227003e-01,4.17664440e-02
162,0.10566988,0.11772691,0.08543523,0.08304733,0.10655891,0.08935872,0.08306685,1.30546565e-01,1.87588170e-01,1.24422953e-01,4.15010925e-02
163,0.10615172,0.11776877,0.08554847,0.08303632,0.10704422,0.08934638,0.08306301,1.30847846e-01,1.87212707e-01,1.24425280e-01,4.13944262e-02
